"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100134229",-2.07565945068901,-4.62384835899925,-2.31036161202721,0.0400344088594426,0.609042878953328,-3.71206311047155
"CES8",1.74601249881419,-3.89030225342058,2.29735621642111,0.0409794594306301,0.611545254396028,-3.71257908933599
"LOC100289195",2.02214379862562,-3.01233012508132,2.29494371367264,0.0411571002079551,0.612737327383398,-3.71624896142882
"FMNL3",0.671138576233256,2.68577047617719,2.72161347988578,0.0189739020131856,0.453352624843516,-3.7179107514995
"THAP10",1.95922648983889,-3.25661567249694,2.29299578673848,0.0413010704213715,0.613013392302178,-3.71818407769055
"TDRD10",-0.894231834122999,-4.90975968784566,-2.27107656999024,0.0429546812459022,0.620796514591516,-3.71952154079986
"EPB41",1.32041799042295,1.31849367031281,2.6209598514643,0.0228060730718487,0.484209885617896,-3.72151184058256
"LOC642909",0.895594138518576,-2.48607853178069,2.35545677530819,0.0369168411660337,0.588392959233077,-3.72173824980926
"DLG3",2.04842553131875,-3.32743281321766,2.29268227179037,0.0413242871338684,0.613013392302178,-3.72223466762059
"ZW10",2.36727294567471,-3.88570318224867,2.31424936915903,0.0397559806088962,0.60738707486023,-3.7223067820564
"FBXO22",1.2089901124419,-3.35778495761108,2.30135213421964,0.040686840608479,0.609588867642627,-3.72309143579716
"RRM2",1.68790523100166,-2.04491437161146,2.33665029035903,0.0381875415882673,0.597362416886075,-3.72387529883488
"ZNF267",1.74133516111782,-5.36912089317793,2.3345161696101,0.0383343663897034,0.59771217963445,-3.72822669667047
"FCER1A",0.997056128931034,-6.78171798731239,2.39380438414789,0.0344507570603628,0.573369542224511,-3.72949255334628
"DDX60L",1.17648814021268,-2.87539300552417,2.2888519684872,0.0416089429139954,0.615081254597157,-3.7300551712536
"WISP2",-1.90409412887607,-6.17930641314216,-2.33241578357306,0.0384793997288072,0.598459696402559,-3.73161954323889
"LOC100131091",-1.16920436996844,-1.99865028454188,-2.36653004602295,0.0361877866734817,0.583074549929858,-3.73252157531834
"TMEM189",-1.28824342467363,-1.74739071435541,-2.46974175670651,0.0300284970039976,0.543051578056652,-3.73315262005469
"TIMM17B",0.623723183034502,-0.43585326315282,2.52391693506449,0.0272156727300866,0.518877666171864,-3.73395007169908
"KRTCAP3",1.11116138895605,-3.48776491368797,2.27096870672249,0.0429629729447988,0.620796514591516,-3.73467422626188
"HTR2A",-2.27223770259277,-6.07930150626651,-2.31483895768412,0.0397139187289961,0.60738707486023,-3.73499255478126
"MKRN2",0.921154082929885,-0.0890735135562076,2.55853680200894,0.0255544515804402,0.508727747537501,-3.7369066010804
"VGLL3",-1.49537015829042,-0.382269939940754,-2.57206512865129,0.0249325781998305,0.50530604021155,-3.73701097054912
"ESRRA",0.893018475580731,0.429388850169324,2.5849975499667,0.0243519480169951,0.500022677095892,-3.74002384014556
"RFX5",1.69714307379478,-1.32628556310794,2.37325924360596,0.0357515374769613,0.578648674038022,-3.7418823093486
"AKR1C2",1.69934147094552,-2.44462846422715,2.29448434324715,0.0411910086698207,0.612878206742478,-3.74667322163459
"P11",-1.61947665462001,-4.65111187478711,-2.27658177900095,0.0425335077978336,0.6204658502759,-3.74683384010684
"MYOCD",-1.01656123455168,-0.818116973973841,-2.52933168128263,0.0269490671124523,0.516811868323608,-3.74720338308929
"LOC100131109",-1.08764838898998,-0.073205748738176,-2.57599436852216,0.0247547482388492,0.50311310721181,-3.75044467082478
"SLC11A2",1.96101579069439,-3.55832117188454,2.26902315482459,0.0431127947985115,0.620806113939821,-3.75254489552425
"SEC61G",-0.72813342000221,-3.54242130477069,-2.28373195717379,0.0419923769930592,0.617835025582739,-3.75340745105515
"LOC100289577",1.57729362587463,-2.87205290249249,2.30282261112363,0.0405796630382157,0.609588867642627,-3.75583883739746
"C21orf63",1.23151843370647,-2.66717040645166,2.31240986361252,0.0398874876679699,0.608284186936542,-3.75598395006949
"TNFAIP3",-1.25851758044948,1.98417415986846,-2.69389839878029,0.0199607917820056,0.466864750395107,-3.75600426095115
"ZNF772",-1.89151218566298,-3.3538339996668,-2.27091652843355,0.0429669845593128,0.620796514591516,-3.75644888723013
"CREB5",-2.06216077961063,-5.14220002240349,-2.27403300103763,0.0427280079171138,0.620796514591516,-3.75787574193461
"NCAPH",1.99876930140965,-3.63731742339783,2.26690456502867,0.0432765094130452,0.621263100954393,-3.75793932481588
"STAG3L4",-2.10389000393642,-4.94728848134237,-2.28038171703368,0.0422451009286581,0.618860498315536,-3.75799403871973
"EED",0.951179847792754,-2.35466072070058,2.31887687383225,0.0394269945368849,0.605311806512088,-3.75863250010516
"TIMELESS",1.64202101029496,-1.92071385820754,2.34722099073125,0.0374682235072106,0.592286148517829,-3.75975182641715
"ETNK2",-1.68026228663007,-2.55028260358947,-2.32078717156961,0.0392919475477551,0.603978183304578,-3.76085357959307
"RABL5",-1.75447273328617,-3.59342442572192,-2.26274118757496,0.0435999668662129,0.622491326482246,-3.76211794075414
"HIF3A",1.42155250589733,-2.73523026073007,2.29012891717291,0.0415138363303963,0.614037398607295,-3.76506802377805
"SLC4A11",1.05246259722826,-2.86384118600502,2.33668188364572,0.0381853720740945,0.597362416886075,-3.76710022080169
