"","prot"
"303","IL6"
"304","INCENP"
"305","INHBA"
"306","INSM2"
"307","IQGAP3"
"308","ITGA9"
"309","JAK3"
"310","KANK2"
"311","KCNAB1"
"312","KCNC4"
"313","KCNJ9"
"314","KCNK6"
"315","KCNK7"
"316","KCTD13"
"317","KDM3B"
"318","KDM4A"
"319","KDR"
"320","KIF11"
"321","KIF14"
"322","KIF15"
"323","KIF18A"
"324","KIF18B"
"325","KIF20A"
"326","KIF20B"
"327","KIF21A"
"328","KIF22"
"329","KIF4A"
"330","KIF4B"
"331","KIFC1"
"332","KLF5"
"333","KLRK1"
"334","KNTC1"
"335","KPNA2"
"336","KRT14"
"337","KRT19"
"338","KRT34"
"339","KRT76"
"340","KRTAP1-5"
"341","KSR1"
"342","LCA5"
"343","LCOR"
"344","LGALS7"
"345","LGALS9"
"346","LIF"
"347","LIG1"
"348","LIMD1"
"349","LPCAT2"
"350","LRIF1"
"351","LRP6"
"352","LRPPRC"
"353","LRRC37A2"
"354","LRRC37A3"
"355","LYAR"
"356","LYNX1"
"357","LYPD1"
"358","MAGIX"
"359","MALSU1"
"360","MAP3K5"
"361","MAP7"
"362","MAPK8"
"363","MAPT"
"364","MARF1"
"365","MAT1A"
"366","MBNL1"
"367","MCAM"
"368","MCM2"
"369","MCM4"
"370","MCM5"
"371","MCM7"
"372","MCM9"
"373","MED1"
"374","MGAM"
"375","MGAT2"
"376","MGAT4A"
"377","MGAT5B"
"378","MKI67"
"379","MME"
"380","MMP1"
"381","MND1"
"382","MOCS3"
"383","MPV17"
"384","MRPL57"
"385","MRPS14"
"386","MTBP"
"387","MTHFD1"
"388","MTHFR"
"389","MTMR10"
"390","MYBL2"
"391","MYH10"
"392","MYOCD"
"393","NCAPD2"
"394","NCAPD3"
"395","NCAPG2"
"396","NCAPH"
"397","NCBP3"
"398","NDE1"
"399","NDUFA1"
"400","NEDD1"
"401","NEDD9"
"402","NES"
"403","NIPBL"
"404","NMI"
"405","NOL6"
"406","NOXO1"
"407","NPAT"
"408","NPPB"
"409","NR1D2"
"410","NR1H3"
"411","NRIP1"
"412","NRP1"
"413","NRXN3"
"414","NSD2"
"415","NSUN2"
"416","NTF4"
"417","NTHL1"
"418","NUDT15"
"419","NUF2"
"420","NUP43"
"421","NUP88"
"422","NUSAP1"
"423","OPA3"
"424","ORC4"
"425","ORC6"
"426","OTUD3"
"427","PABPC4L"
"428","PAFAH1B3"
"429","PARP1"
"430","PARP2"
"431","PARP4"
"432","PARPBP"
"433","PAXIP1"
"434","PBK"
"435","PCDHA4"
"436","PCDHA7"
