,V1,V2
114,DB11587,DB00158
115,DB13943,DB00158
116,DB00458,DB00158
117,DB00454,DB00158
118,DB00813,DB00158
119,DB09095,DB00158
120,DB06696,DB00158
121,DB00552,DB00158
122,DB00314,DB00158
123,DB00909,DB00158
124,DB00214,DB00158
125,DB00310,DB00158
126,DB00606,DB00158
127,DB00703,DB00158
128,DB00774,DB00158
129,DB01395,DB00158
130,DB09125,DB00158
131,DB09401,DB00158
132,DB12766,DB00158
133,DB13663,DB00158
134,DB00495,DB00158
135,DB00770,DB00158
136,DB08846,DB00158
137,DB00428,DB00180
138,DB00495,DB00180
139,DB00552,DB00180
140,DB00851,DB00180
141,DB00853,DB00180
142,DB00970,DB00180
143,DB01041,DB00180
144,DB01168,DB00180
145,DB01169,DB00180
146,DB01611,DB00180
147,DB05260,DB00180
148,DB08059,DB00180
149,DB08871,DB00180
150,DB08908,DB00180
151,DB11708,DB00180
152,DB12612,DB00180
153,DB12996,DB00180
154,DB00959,DB00180
155,DB01234,DB00180
156,DB08970,DB00180
157,DB09091,DB00180
158,DB14539,DB00180
159,DB14545,DB00180
160,DB01047,DB00180
161,DB00547,DB00180
162,DB08971,DB00180
163,DB09053,DB00180
164,DB09095,DB00180
165,DB00337,DB00180
166,DB01238,DB00180
167,DB14185,DB00180
168,DB01609,DB00180
169,DB00668,DB00180
170,DB00938,DB00180
171,DB01064,DB00180
172,DB01407,DB00180
173,DB11587,DB00180
174,DB12100,DB00180
175,DB13275,DB00180
176,DB08883,DB00180
177,DB01418,DB00180
178,DB14055,DB00180
179,DB08895,DB00180
180,DB00864,DB00180
181,DB06410,DB00180
182,DB01357,DB00180
183,DB01395,DB00180
184,DB04574,DB00180
185,DB06713,DB00180
186,DB09401,DB00180
187,DB13044,DB00180
188,DB13866,DB00180
189,DB11443,DB00180
190,DB13772,DB00180
191,DB01137,DB00180
192,DB00310,DB00180
193,DB01406,DB00180
194,DB00233,DB00180
195,DB00328,DB00180
196,DB00795,DB00180
197,DB11466,DB00180
198,DB00244,DB00180
199,DB00945,DB00180
200,DB01250,DB00180
201,DB00461,DB00180
202,DB00749,DB00180
203,DB01399,DB00180
204,DB01600,DB00180
205,DB02224,DB00180
206,DB06736,DB00180
207,DB07402,DB00180
208,DB08991,DB00180
209,DB09213,DB00180
210,DB13286,DB00180
211,DB00482,DB00180
212,DB00586,DB00180
213,DB00814,DB00180
214,DB01050,DB00180
215,DB01424,DB00180
216,DB04743,DB00180
217,DB09216,DB00180
218,DB09212,DB00180
219,DB00888,DB00180
220,DB04572,DB00180
221,DB06756,DB00180
222,DB00358,DB00180
223,DB00843,DB00180
224,DB06774,DB00180
225,DB00624,DB00180
226,DB05804,DB00180
227,DB13943,DB00180
228,DB01411,DB00180
229,DB09071,DB00180
230,DB09079,DB00180
231,DB11952,DB00180
232,DB15444,DB00180
233,DB00454,DB00180
234,DB11633,DB00180
235,DB00570,DB00180
236,DB00762,DB00180
237,DB01248,DB00180
238,DB06616,DB00180
239,DB08877,DB00180
240,DB08901,DB00180
241,DB08910,DB00180
242,DB11817,DB00180
243,DB00204,DB00180
244,DB00564,DB00180
245,DB01223,DB00180
246,DB01229,DB00180
247,DB01254,DB00180
248,DB04855,DB00180
249,DB05239,DB00180
250,DB12015,DB00180
251,DB08881,DB00180
252,DB11581,DB00180
253,DB13874,DB00180
254,DB15035,DB00180
255,DB00675,DB00180
256,DB12483,DB00180
257,DB09054,DB00180
258,DB04896,DB00180
259,DB00625,DB00180
260,DB00836,DB00180
261,DB01183,DB00180
262,DB11779,DB00180
263,DB00381,DB00180
264,DB11986,DB00180
265,DB01261,DB00180
266,DB06335,DB00180
267,DB09200,DB00180
268,DB09022,DB00180
269,DB13467,DB00180
270,DB00877,DB00180
271,DB01590,DB00180
272,DB06287,DB00180
273,DB00199,DB00180
274,DB06233,DB00180
275,DB11554,DB00180
276,DB00655,DB00180
277,DB13952,DB00180
278,DB00774,DB00180
279,DB00606,DB00180
280,DB00182,DB01017
281,DB00182,DB08883
282,DB00182,DB01041
283,DB00182,DB00938
284,DB00182,DB02224
285,DB00182,DB12100
286,DB00213,DB00182
287,DB00448,DB00182
288,DB00182,DB00333
289,DB00921,DB00182
290,DB00564,DB00182
291,DB00182,DB01184
292,DB00182,DB00327
293,DB00182,DB00454
294,DB00182,DB00898
295,DB00182,DB00341
296,DB00182,DB00501
297,DB00182,DB00985
298,DB00182,DB01176
299,DB00182,DB00334
300,DB00182,DB00458
301,DB00182,DB00777
302,DB00182,DB01238
303,DB00182,DB14185
304,DB00201,DB00182
305,DB00182,DB01223
306,DB00182,DB11919
307,DB00182,DB13592
308,DB00182,DB00214
309,DB00182,DB00275
310,DB00182,DB00310
311,DB00182,DB00381
312,DB00182,DB00606
313,DB00182,DB00774
314,DB00182,DB01116
315,DB00182,DB06268
316,DB00182,DB08931
317,DB00182,DB12766
318,DB00182,DB13631
319,DB00182,DB13779
320,DB00182,DB13919
321,DB00182,DB14094
322,DB00182,DB14217
323,DB00182,DB00790
324,DB00182,DB00800
325,DB00182,DB00668
326,DB00182,DB00703
327,DB00182,DB01229
328,DB00182,DB00296
329,DB00182,DB01169
330,DB00182,DB01105
331,DB00182,DB04896
332,DB00182,DB13254
333,DB00182,DB13738
334,DB00182,DB13844
335,DB00182,DB01036
336,DB00182,DB01148
337,DB00182,DB04872
338,DB00182,DB13256
339,DB00182,DB13791
340,DB00182,DB13841
341,DB00182,DB00830
342,DB00182,DB01064
343,DB00182,DB01407
344,DB00182,DB06152
345,DB00182,DB00852
346,DB00182,DB01255
347,DB00182,DB01442
348,DB00182,DB00614
349,DB00182,DB00780
350,DB00182,DB01168
351,DB00182,DB01367
352,DB00182,DB06723
353,DB00182,DB09104
354,DB00182,DB09022
355,DB00182,DB09200
356,DB00182,DB01079
357,DB00482,DB00182
358,DB00182,DB00608
359,DB00182,DB11586
360,DB00182,DB15982
361,DB00182,DB01218
362,DB00182,DB00241
363,DB00182,DB00625
364,DB00182,DB00754
365,DB00182,DB00843
366,DB00182,DB00909
367,DB00182,DB00998
368,DB00182,DB01065
369,DB00182,DB01534
370,DB00182,DB01588
371,DB00182,DB05246
372,DB00182,DB06579
373,DB00182,DB08059
374,DB00182,DB08329
375,DB00182,DB09011
376,DB00182,DB11428
377,DB00182,DB12308
378,DB00182,DB13520
379,DB00182,DB13984
380,DB00182,DB14715
381,DB00182,DB00323
382,DB00182,DB08910
383,DB00182,DB09071
384,DB00182,DB09185
385,DB00182,DB00532
386,DB00182,DB01037
387,DB00182,DB00802
388,DB00182,DB00813
389,DB00182,DB00652
390,DB00244,DB00182
391,DB00282,DB00182
392,DB00328,DB00182
393,DB00456,DB00182
394,DB00461,DB00182
395,DB00586,DB00182
396,DB00742,DB00182
397,DB00749,DB00182
398,DB00795,DB00182
399,DB00814,DB00182
400,DB00864,DB00182
401,DB00923,DB00182
402,DB00945,DB00182
403,DB01050,DB00182
404,DB01250,DB00182
405,DB01329,DB00182
406,DB01331,DB00182
407,DB01399,DB00182
408,DB01424,DB00182
409,DB01600,DB00182
410,DB04743,DB00182
411,DB06736,DB00182
412,DB07402,DB00182
413,DB08991,DB00182
414,DB09213,DB00182
415,DB09216,DB00182
416,DB11466,DB00182
417,DB13286,DB00182
418,DB13470,DB00182
419,DB13499,DB00182
420,DB13638,DB00182
421,DB09212,DB00182
422,DB11512,DB00182
423,DB00182,DB00158
424,DB00182,DB00319
425,DB00182,DB00415
426,DB00182,DB00437
427,DB00182,DB00624
428,DB00182,DB00851
429,DB00182,DB00853
430,DB00182,DB00995
431,DB00182,DB01011
432,DB00182,DB01137
433,DB00182,DB01183
434,DB00182,DB01261
435,DB00182,DB01427
436,DB00182,DB04574
437,DB00182,DB06335
438,DB00182,DB06824
439,DB00182,DB08877
440,DB00182,DB08911
441,DB00182,DB09091
442,DB00182,DB09135
443,DB00182,DB09395
444,DB00182,DB09502
445,DB00182,DB11587
446,DB11817,DB00182
447,DB00182,DB13943
448,DB13952,DB00182
449,DB00182,DB09095
450,DB00182,DB06696
451,DB00182,DB00552
452,DB00182,DB00314
453,DB00182,DB01395
454,DB00182,DB09401
455,DB00182,DB13663
456,DB00182,DB14500
457,DB00182,DB01138
458,DB00182,DB02709
459,DB00182,DB05767
460,DB00182,DB07615
461,DB00182,DB08814
462,DB00182,DB00775
463,DB00182,DB01418
464,DB00182,DB06543
465,DB00182,DB06605
466,DB00182,DB12289
467,DB00182,DB12598
468,DB00182,DB13275
469,DB00182,DB14055
470,DB00182,DB06695
471,DB00182,DB09075
472,DB00182,DB01611
473,DB08864,DB00182
474,DB11633,DB00182
475,DB00182,DB11638
476,DB00182,DB01590
477,DB00182,DB00627
478,DB12500,DB00182
479,DB00182,DB00358
480,DB00182,DB00570
481,DB00182,DB06287
482,DB08881,DB00182
483,DB00182,DB11837
484,DB00182,DB00184
485,DB00182,DB00836
486,DB00182,DB01095
487,DB00182,DB09053
488,DB12070,DB00182
489,DB00182,DB00675
490,DB13874,DB00182
491,DB08901,DB00182
492,DB00182,DB00495
493,DB00182,DB04272
494,DB00182,DB09125
495,DB09061,DB00182
496,DB00182,DB00915
497,DB00182,DB00312
498,DB00182,DB00418
499,DB00182,DB01215
500,DB00182,DB05541
501,DB00182,DB06413
502,DB00182,DB00598
503,DB00182,DB01267
504,DB00182,DB08807
505,DB00182,DB08815
506,DB00182,DB13757
507,DB00182,DB00344
508,DB00182,DB12930
509,DB00182,DB00215
510,DB00182,DB00451
511,DB00182,DB01583
512,DB00182,DB03374
513,DB00182,DB09418
514,DB00182,DB04855
515,DB00182,DB01104
516,DB01609,DB00184
517,DB00501,DB00184
518,DB00214,DB00184
519,DB00310,DB00184
520,DB00606,DB00184
521,DB00774,DB00184
522,DB00795,DB00184
523,DB00909,DB00184
524,DB13663,DB00184
525,DB00703,DB00184
526,DB00184,DB08807
527,DB00184,DB13757
528,DB00888,DB00184
529,DB06756,DB00184
530,DB00564,DB00184
531,DB00201,DB00184
532,DB11837,DB00184
533,DB00482,DB00184
534,DB00608,DB00184
535,DB00458,DB00184
536,DB11586,DB00184
537,DB01079,DB00184
538,DB15982,DB00184
539,DB01218,DB00184
540,DB01138,DB00184
541,DB00625,DB00184
542,DB00418,DB00184
543,DB00312,DB00184
544,DB00184,DB01095
545,DB01645,DB00184
546,DB00184,DB00451
547,DB00938,DB00184
548,DB08911,DB00184
549,DB08881,DB00184
550,DB00314,DB00184
551,DB00319,DB00184
552,DB01017,DB00184
553,DB06696,DB00184
554,DB09104,DB00184
555,DB11512,DB00184
556,DB00668,DB00184
557,DB00915,DB00184
558,DB12598,DB00184
559,DB00184,DB01583
560,DB06616,DB00184
561,DB12070,DB00184
562,DB13919,DB00184
563,DB11633,DB00184
564,DB15822,DB00184
565,DB11995,DB00184
566,DB00184,DB00741
567,DB14539,DB00184
568,DB14545,DB00184
569,DB01234,DB00184
570,DB00495,DB00184
571,DB00586,DB00184
572,DB00921,DB00184
573,DB01037,DB00184
574,DB01050,DB00184
575,DB01184,DB00184
576,DB01261,DB00184
577,DB01357,DB00184
578,DB01424,DB00184
579,DB06605,DB00184
580,DB08931,DB00184
581,DB09200,DB00184
582,DB12026,DB00184
583,DB13943,DB00184
584,DB13952,DB00184
585,DB14055,DB00184
586,DB00333,DB00184
587,DB00448,DB00184
588,DB00836,DB00184
589,DB09213,DB00184
590,DB12612,DB00184
591,DB00532,DB00184
592,DB00184,DB11689
593,DB08901,DB00184
594,DB01229,DB00184
595,DB08864,DB00184
596,DB04572,DB00184
597,DB00762,DB00184
598,DB05541,DB00184
599,DB08883,DB00184
600,DB00655,DB00184
601,DB00675,DB00184
602,DB13874,DB00184
603,DB15035,DB00184
604,DB00184,DB00215
605,DB00598,DB00184
606,DB01611,DB00184
607,DB11638,DB00184
608,DB09061,DB00184
609,DB01590,DB00184
610,DB00627,DB00184
611,DB12500,DB00184
612,DB00358,DB00184
613,DB00570,DB00184
614,DB06287,DB00184
615,DB00182,DB00184
616,DB01036,DB00184
617,DB01238,DB00184
618,DB01267,DB00184
619,DB09053,DB00184
620,DB14185,DB00184
621,DB00184,DB00344
622,DB00184,DB12930
623,DB09185,DB00184
624,DB00428,DB00184
625,DB00454,DB00184
626,DB01137,DB00184
627,DB02709,DB00184
628,DB04574,DB00184
629,DB11443,DB00184
630,DB13772,DB00184
631,DB00334,DB00184
632,DB00461,DB00184
633,DB00851,DB00184
634,DB00998,DB00184
635,DB01065,DB00184
636,DB01367,DB00184
637,DB06774,DB00184
638,DB08910,DB00184
639,DB09071,DB00184
640,DB11919,DB00184
641,DB00184,DB11967
642,DB13592,DB00184
643,DB00296,DB00184
644,DB01223,DB00184
645,DB01254,DB00184
646,DB00898,DB00184
647,DB00184,DB01104
648,DB01011,DB00184
649,DB00323,DB00184
650,DB01176,DB00184
651,DB01411,DB00184
652,DB06268,DB00184
653,DB00184,DB06413
654,DB00328,DB00184
655,DB00749,DB00184
656,DB00945,DB00184
657,DB01041,DB00184
658,DB00327,DB00184
659,DB07615,DB00184
660,DB00624,DB00184
661,DB00814,DB00184
662,DB01418,DB00184
663,DB00780,DB00184
664,DB00777,DB00184
665,DB00830,DB00184
666,DB00852,DB00184
667,DB01064,DB00184
668,DB01148,DB00184
669,DB01255,DB00184
670,DB01407,DB00184
671,DB01442,DB00184
672,DB11428,DB00184
673,DB11587,DB00184
674,DB12100,DB00184
675,DB13254,DB00184
676,DB13738,DB00184
677,DB13844,DB00184
678,DB01105,DB00184
679,DB04896,DB00184
680,DB06152,DB00184
681,DB00204,DB00184
682,DB12015,DB00184
683,DB00843,DB00184
684,DB04855,DB00184
685,DB06616,DB00199
686,DB00199,DB00275
687,DB00199,DB00301
688,DB00199,DB01138
689,DB00199,DB13751
690,DB00328,DB00199
691,DB00586,DB00199
692,DB09075,DB00199
693,DB01590,DB00199
694,DB09053,DB00199
695,DB00199,DB08820
696,DB00199,DB08815
697,DB00199,DB00802
698,DB00564,DB00199
699,DB01215,DB00199
700,DB08864,DB00199
701,DB00877,DB00199
702,DB06287,DB00199
703,DB00813,DB00199
704,DB08895,DB00199
705,DB00864,DB00199
706,DB13467,DB00199
707,DB00909,DB00199
708,DB04743,DB00199
709,DB00199,DB05246
710,DB00199,DB06152
711,DB00199,DB07615
712,DB00199,DB08980
713,DB09216,DB00199
714,DB00199,DB11960
715,DB00199,DB13791
716,DB00199,DB00215
717,DB01169,DB00199
718,DB00199,DB01184
719,DB00199,DB01218
720,DB01267,DB00199
721,DB00199,DB13725
722,DB00199,DB00985
723,DB00199,DB06200
724,DB01137,DB00199
725,DB00341,DB00199
726,DB00915,DB00199
727,DB01036,DB00199
728,DB00199,DB01176
729,DB08871,DB00199
730,DB11443,DB00199
731,DB00199,DB11448
732,DB12766,DB00199
733,DB13772,DB00199
734,DB00199,DB00334
735,DB00199,DB00344
736,DB00358,DB00199
737,DB01611,DB00199
738,DB01411,DB00199
739,DB09071,DB00199
740,DB01395,DB00199
741,DB00454,DB00199
742,DB11633,DB00199
743,DB00199,DB11919
744,DB00199,DB13592
745,DB00201,DB00199
746,DB05239,DB00199
747,DB08881,DB00199
748,DB00742,DB00199
749,DB00199,DB01079
750,DB01261,DB00199
751,DB09079,DB00199
752,DB11952,DB00199
753,DB11995,DB00199
754,DB12026,DB00199
755,DB13879,DB00199
756,DB00836,DB00199
757,DB12500,DB00199
758,DB01238,DB00199
759,DB14185,DB00199
760,DB06695,DB00199
761,DB00214,DB00199
762,DB00795,DB00199
763,DB00199,DB06151
764,DB00199,DB01583
765,DB00213,DB00199
766,DB01645,DB00199
767,DB00199,DB13919
768,DB00501,DB00199
769,DB12070,DB00199
770,DB00482,DB00199
771,DB00970,DB00199
772,DB08910,DB00199
773,DB12483,DB00199
774,DB00458,DB00199
775,DB00199,DB11967
776,DB00570,DB00199
777,DB00675,DB00199
778,DB08901,DB00199
779,DB11581,DB00199
780,DB11817,DB00199
781,DB01254,DB00199
782,DB00204,DB00199
783,DB01223,DB00199
784,DB00762,DB00199
785,DB13874,DB00199
786,DB01229,DB00199
787,DB01248,DB00199
788,DB09054,DB00199
789,DB12015,DB00199
790,DB04572,DB00199
791,DB08877,DB00199
792,DB00199,DB01095
793,DB06335,DB00199
794,DB08883,DB00199
795,DB09061,DB00199
796,DB13952,DB00199
797,DB00624,DB00199
798,DB00199,DB11586
799,DB00333,DB00199
800,DB00608,DB00199
801,DB00921,DB00199
802,DB13943,DB00199
803,DB00845,DB00199
804,DB00655,DB00199
805,DB00199,DB11837
806,DB00625,DB00199
807,DB01041,DB00199
808,DB00199,DB06413
809,DB08970,DB00199
810,DB00199,DB14652
811,DB01047,DB00199
812,DB08971,DB00199
813,DB09095,DB00199
814,DB05804,DB00199
815,DB14539,DB00199
816,DB00199,DB14541
817,DB00780,DB00199
818,DB00199,DB00451
819,DB00381,DB00199
820,DB00199,DB13520
821,DB00199,DB00862
822,DB00945,DB00199
823,DB01418,DB00199
824,DB00199,DB06543
825,DB00199,DB06605
826,DB00199,DB08814
827,DB09125,DB00199
828,DB00199,DB12289
829,DB00199,DB12598
830,DB13275,DB00199
831,DB14055,DB00199
832,DB00199,DB14094
833,DB11986,DB00199
834,DB04855,DB00199
835,DB00938,DB00199
836,DB15444,DB00199
837,DB15035,DB00199
838,DB00199,DB00741
839,DB01234,DB00199
840,DB00199,DB00180
841,DB00959,DB00199
842,DB00199,DB11689
843,DB15822,DB00199
844,DB00199,DB14845
845,DB00199,DB15982
846,DB00201,DB01609
847,DB00201,DB00437
848,DB00564,DB00201
849,DB00201,DB00501
850,DB00201,DB08931
851,DB00201,DB01064
852,DB00201,DB00182
853,DB00201,DB00598
854,DB00201,DB00668
855,DB00201,DB00830
856,DB00201,DB00852
857,DB00201,DB01255
858,DB00201,DB01407
859,DB00201,DB01442
860,DB00201,DB06152
861,DB00201,DB13757
862,DB00201,DB08807
863,DB00201,DB01215
864,DB00201,DB01588
865,DB00201,DB14715
866,DB00201,DB00184
867,DB00201,DB00296
868,DB00201,DB00334
869,DB00201,DB00461
870,DB00201,DB00586
871,DB00201,DB00898
872,DB00201,DB00998
873,DB00201,DB01037
874,DB00201,DB01065
875,DB00201,DB01184
876,DB00201,DB01367
877,DB00201,DB01424
878,DB01645,DB00201
879,DB00201,DB02709
880,DB00201,DB04574
881,DB00201,DB06774
882,DB00201,DB08883
883,DB00201,DB09071
884,DB00201,DB11919
885,DB00201,DB11967
886,DB12026,DB00201
887,DB00201,DB13592
888,DB13952,DB00201
889,DB00201,DB00625
890,DB00201,DB11837
891,DB00201,DB00532
892,DB00201,DB11689
893,DB00201,DB00655
894,DB00201,DB00199
895,DB00201,DB06233
896,DB00201,DB11554
897,DB00201,DB00877
898,DB00201,DB01590
899,DB00201,DB06287
900,DB00201,DB01137
901,DB00201,DB11443
902,DB00201,DB13772
903,DB08881,DB00201
904,DB00201,DB00754
905,DB00201,DB05246
906,DB00201,DB05541
907,DB00201,DB08329
908,DB00201,DB09011
909,DB09061,DB00201
910,DB00201,DB00909
911,DB00201,DB00158
912,DB00201,DB00482
913,DB00201,DB00495
914,DB00201,DB00624
915,DB00201,DB00762
916,DB00795,DB00201
917,DB00201,DB00843
918,DB00201,DB00970
919,DB00201,DB06605
920,DB08901,DB00201
921,DB00201,DB09054
922,DB11581,DB00201
923,DB00201,DB11952
924,DB00201,DB12483
925,DB13879,DB00201
926,DB00201,DB13943
927,DB00201,DB15822
928,DB00201,DB09185
929,DB00201,DB00215
930,DB00201,DB00428
931,DB00201,DB00418
932,DB00201,DB00454
933,DB00201,DB06413
934,DB00201,DB01079
935,DB00201,DB00458
936,DB00201,DB00675
937,DB00201,DB01418
938,DB00201,DB00851
939,DB00201,DB08910
940,DB13874,DB00201
941,DB00201,DB01223
942,DB01254,DB00201
943,DB00201,DB12015
944,DB00201,DB03374
945,DB00201,DB09418
946,DB00201,DB00451
947,DB00201,DB01583
948,DB00201,DB12612
949,DB00201,DB15982
950,DB00204,DB06413
951,DB00501,DB00204
952,DB00214,DB00204
953,DB00310,DB00204
954,DB00774,DB00204
955,DB00204,DB06200
956,DB00204,DB05246
957,DB12766,DB00204
958,DB00204,DB00836
959,DB00204,DB08980
960,DB00204,DB13791
961,DB00204,DB00381
962,DB00909,DB00204
963,DB00204,DB13725
964,DB04743,DB00204
965,DB00204,DB06152
966,DB00204,DB07615
967,DB09216,DB00204
968,DB00204,DB11960
969,DB00204,DB00985
970,DB00458,DB00204
971,DB00608,DB00204
972,DB01137,DB00204
973,DB00341,DB00204
974,DB00204,DB00344
975,DB00204,DB01176
976,DB08871,DB00204
977,DB11443,DB00204
978,DB00204,DB11448
979,DB13772,DB00204
980,DB00204,DB00334
981,DB00204,DB00862
982,DB01036,DB00204
983,DB01238,DB00204
984,DB01611,DB00204
985,DB00204,DB08815
986,DB14185,DB00204
987,DB01169,DB00204
988,DB00204,DB01184
989,DB00204,DB01218
990,DB01267,DB00204
991,DB00312,DB00204
992,DB00564,DB00204
993,DB01234,DB00204
994,DB00204,DB00625
995,DB01645,DB00204
996,DB00204,DB11586
997,DB00204,DB12015
998,DB00204,DB00180
999,DB00204,DB00241
1000,DB00204,DB00301
1001,DB00418,DB00204
1002,DB00448,DB00204
1003,DB00454,DB00204
1004,DB00570,DB00204
1005,DB00624,DB00204
1006,DB00204,DB00675
1007,DB00204,DB00741
1008,DB00204,DB00754
1009,DB00204,DB00898
1010,DB00959,DB00204
1011,DB01011,DB00204
1012,DB00204,DB01138
1013,DB00204,DB01229
1014,DB01609,DB00204
1015,DB08881,DB00204
1016,DB08883,DB00204
1017,DB08911,DB00204
1018,DB11633,DB00204
1019,DB13874,DB00204
1020,DB13943,DB00204
1021,DB13952,DB00204
1022,DB14539,DB00204
1023,DB14545,DB00204
1024,DB00204,DB14652
1025,DB08970,DB00204
1026,DB01047,DB00204
1027,DB15822,DB00204
1028,DB08971,DB00204
1029,DB09095,DB00204
1030,DB01183,DB00204
1031,DB00204,DB11779
1032,DB01406,DB00204
1033,DB00204,DB00199
1034,DB04896,DB00204
1035,DB11581,DB00204
1036,DB00864,DB00204
1037,DB01254,DB00204
1038,DB08864,DB00204
1039,DB00204,DB00215
1040,DB00921,DB00204
1041,DB00204,DB08820
1042,DB13879,DB00204
1043,DB00204,DB11837
1044,DB00333,DB00204
1045,DB00204,DB01095
1046,DB00204,DB00627
1047,DB00668,DB00204
1048,DB00780,DB00204
1049,DB00204,DB02709
1050,DB00204,DB06233
1051,DB00204,DB06268
1052,DB06774,DB00204
1053,DB00204,DB11554
1054,DB12070,DB00204
1055,DB00358,DB00204
1056,DB00845,DB00204
1057,DB01248,DB00204
1058,DB06616,DB00204
1059,DB12010,DB00204
1060,DB01395,DB00204
1061,DB01411,DB00204
1062,DB00204,DB05239
1063,DB09071,DB00204
1064,DB09079,DB00204
1065,DB11952,DB00204
1066,DB15444,DB00204
1067,DB00204,DB09054
1068,DB00915,DB00204
1069,DB00204,DB00184
1070,DB00938,DB00204
1071,DB11817,DB00204
1072,DB00204,DB11986
1073,DB00204,DB04855
1074,DB00204,DB15982
1075,DB00213,DB00182
1076,DB00213,DB06616
1077,DB00213,DB06695
1078,DB00213,DB01254
1079,DB00213,DB08931
1080,DB00213,DB00770
1081,DB00213,DB03902
1082,DB00213,DB08846
1083,DB00213,DB00319
1084,DB00213,DB06335
1085,DB00213,DB00328
1086,DB00213,DB00495
1087,DB00213,DB00501
1088,DB00213,DB00741
1089,DB00213,DB01234
1090,DB00213,DB01261
1091,DB00213,DB11817
1092,DB00213,DB00655
1093,DB00213,DB00451
1094,DB00213,DB00244
1095,DB00213,DB06255
1096,DB00213,DB00864
1097,DB00213,DB00448
1098,DB00213,DB00458
1099,DB00213,DB00625
1100,DB00213,DB01592
1101,DB00213,DB15598
1102,DB00213,DB00158
1103,DB00795,DB00213
1104,DB00213,DB01079
1105,DB00213,DB00437
1106,DB00213,DB08881
1107,DB00213,DB00624
1108,DB00213,DB00762
1109,DB00213,DB00843
1110,DB00213,DB00970
1111,DB00213,DB06605
1112,DB00213,DB08901
1113,DB00213,DB09054
1114,DB00213,DB11581
1115,DB00213,DB11952
1116,DB00213,DB12026
1117,DB00213,DB12483
1118,DB00213,DB13874
1119,DB00213,DB13879
1120,DB00213,DB13943
1121,DB00213,DB11689
1122,DB00213,DB15822
1123,DB00213,DB01583
1124,DB00213,DB00199
1125,DB00213,DB05239
1126,DB00213,DB00282
1127,DB00213,DB00456
1128,DB00213,DB00461
1129,DB00213,DB00482
1130,DB00213,DB00586
1131,DB00213,DB00749
1132,DB00213,DB00814
1133,DB00213,DB00923
1134,DB00213,DB01250
1135,DB00213,DB01331
1136,DB00213,DB01399
1137,DB00213,DB01424
1138,DB00213,DB01600
1139,DB00213,DB04743
1140,DB00213,DB06736
1141,DB00213,DB07402
1142,DB00213,DB08991
1143,DB00213,DB09213
1144,DB00213,DB09216
1145,DB00213,DB11466
1146,DB00213,DB13286
1147,DB00213,DB13470
1148,DB00213,DB13499
1149,DB00213,DB13638
1150,DB00213,DB00742
1151,DB00213,DB00945
1152,DB00213,DB01050
